numero_item;descricao;unidade_medida;marca;quantidade_contratada;valor_unitario;saida;tipo_item
25;ENVELOPE BRANCO, TIMBRADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, TAMANHO 20X28 IMPRESSÃO 4X0,COM FACA, PAPEL OFFSET 150GR.;UNIDADE;;6250;1,48;4500;CONSUMO
26;ENVELOPE BRANCO, TIMBRADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, TAMANHO 23X11,5 IMPRESSÃO 4X0,COM FACA, PAPEL OFFSET 150GR.;UNIDADE;;6250;1,25;4600;CONSUMO
27;ENVELOPE BRANCO, TIMBRADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, TIPO SACO, TAMANHO 24,5X18.5, IMPRESSÃO 4X0,COM FACA, PAPEL OFFSET 150GR.;UNIDADE;;6250;1,48;4500;CONSUMO
28;ENVELOPE BRANCO, TIMBRADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, TIPO SACO, TAMANHO 26X36, IMPRESSÃO 4X0,COM FACA, PAPEL OFFSET 150GR.;UNIDADE;;6250;1,99;4300;CONSUMO
29;FOLDER, 21X30CM, IMP. 4/4, PAPEL COUCHE 210GR , 01 DOBRA,COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES.;UNIDADE;;1250;1,39;;CONSUMO
30;LIVRETO DA LEI ORGÂNICA, FORMATO 21X15 CAPA E CONTRA CAPA: IMPRESSÃO  4X1 , PAPEL COUCHE 250 GRS, PLASTIFICADA - MIOLO 80 FOLHAS, PAPEL SULFITE 75 GRS, IMPRESSÃO 1X1- ACABAMENTO  LOMBADA QUADRADA.;UNIDADE;;250;50,12;200;CONSUMO
31;LIVRETO DE REGIMENTO  INTERNO, FORMATO 20X15 CAPA / CONTRA CAPA, IMPRESSÃO 4X0, PAPEL COUCHE 250GRS , PLASTIFICADA- MIOLO 100 FOLHAS, PAPEL SULFITE 75 GRS, IMPRESSÃO 1X1- ACABAMENTO LOMBADA QUADRADA.;UNIDADE;;250;52,16;200;CONSUMO
32;LIVRETO DA LEI MUNICIPAL, Nº 101/2002 - ESTATUTO DOS SERVIDORES PÚBLICOS DO MUNICIPIO E ALTERAÇÕES. FORMATO 20X15 – CAPA/ CONTRA CAPA: IMPRESSÃO 4X0 (PAPEL COUCHE 300 GRS, PLASTIFICADA) MIOLO: 100 FOLHAS, PAPEL SULFITE 75 GRS, IMPRESSÃO 1X1, ACABAMENTO LOMBADA QUADRADA.;UNIDADE;;250;52,16;200;CONSUMO
33;LIVRETO DA LEI MUNICIPAL, Nº 592/2013 - PLANO DE CARGOS E SALÁRIOS DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES. FORMATO 20X15 – CAPA/ CONTRA CAPA: IMPRESSÃO 4X0 (PAPEL COUCHE 300 GRS, PLASTIFICADA) MIOLO: 110 FOLHAS, PAPEL SULFITE 75 GRS, IMPRESSÃO 1X1, ACABAMENTO LOMBADA QUADRADA.;UNIDADE;;250;53,18;200;CONSUMO
34;PANFLETOS INSTITUCIONAIS, FORMATO 21X30, IMPRESSÃO 4X0 , PAPEL COUCHE 115 GRS, INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;12500;0,31;12500;CONSUMO
35;PANFLETOS TIMBRADOS, FORMATO 21X15CM, IMPRESSÃO 4X0, PAPEL COUCHE 115GRS, INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;12500;0,24;12500;CONSUMO
36;PAPEL TIMBRADO COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, FORMATO A4, IMPRESSÃO 4X0, PAPEL SULFITE 75GRS. OBS.: OS PAPÉIS TIMBRADOS DEVEM SER ENTREGUES EM FORMATO DE RESMA COM 500 FOLHAS, PARA FACILITAR A CONTAGEM NO MOMENTO DA ENTREGA.;UNIDADE;;12500;0,31;11000;CONSUMO
37;PASTA DE APRESENTAÇÃO COM BOLSA, TIMBRADA COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO, FORMATO 31X48, IMPRESSÃO 4X0 PAPEL COUCHE 250 GRS.;UNIDADE;;2500;2,86;1350;CONSUMO
38;PASTA DE APRESENTAÇÃO COM ORELHA , TIMBRADA COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO, FORMATO 31X48, IMPRESSÃO 4X0, PAPEL COUCHE 250 GRS.;UNIDADE;;2500;2,56;1350;CONSUMO
39;TINTA PRETA PARA CARIMBOS AUTOMÁTICOS.;UNIDADE;;38;46;23;CONSUMO
40;TROCA DE BORRACHA DOS CARIMBOS AUTOMÁTICOS TAMANHO 4X6,5 COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;38;35,8;21;CONSUMO
41;TROCA DE BORRACHA DOS CARIMBOS AUTOMÁTICOS TAMANHO 6,4X4,0 COMLOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;38;35,8;12;CONSUMO
42;TROCA DE BORRACHA DOS CARIMBOS AUTOMÁTICOS TAMANHO 7,6 X 3,8 COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO  MAGALHÃES.;UNIDADE;;38;36,83;6;CONSUMO
43;BOTONS PERSONALIZADOS EM METAL, FORMATO 2,8X3,7CM, ACABAMENTO PERFEITO, CORES FORTES E BEM DEFINIDAS, SEM MANCHAS, BORRÕES, OXIDAÇÃO OU FALHA NA PINTURA, VERSO COM PINO E TRAVA DE METAL, EMBALADOS INDIVIDUALMENTE EM EMBALAGEM PLÁSTICA. INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;3000;10,16;2100;CONSUMO
44;CARTAZES A3 - 297 X 420 MM: TAMANHO EQUIVALENTE AO DOBRO DE UMA FOLHA SULFITE, IMPRESSO EM PAPEL COUCHE 115 G, 4X0 CORES. INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;1500;7,47;900;CONSUMO
45;ADESIVO VINIL, FORMATO 75X110 CM, IMPRESSÃO DE ALTA QUALIDADE, CORES VIVAS, INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;15;153,04;8;CONSUMO
46;FAIXA NO FORMATO 3X1 EM LONA COM IMPRESSÃO DIGITAL E ACABAMENTO EM ILHÓS. INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;15;410,02;7;CONSUMO
47;ADESIVO VINIL, FORMATO A4, IMPRESSÃO DE ALTA QUALIDADE, CORES VIVAS, INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;1500;8,2;1304;CONSUMO
48;IMAGENS EM ADESIVO VINIL, FORMATO 15X21CM,  IMPRESSÃO DE ALTA QUALIDADE, CORES VIVAS, INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;125;5,11;105;CONSUMO
