Numero Item*;Categoria do Item*;Catálogo Utilizado*;Classificação do Catálogo*;Código da Classificação Superior (Classe/Grupo)*;Classificacao Superior Nome*;Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada*;Valor Unitário Estimado (R$)*;Valor Total Estimado (R$)*;Valor orçamentário estimado para o exercício (R$)*;Renovação Contrato*;Data Desejada*;Unidade Requisitante;Grupo Contratação Codigo;Grupo Contratação Nome
11;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000007;Serviço de Locação de Software de Imprensa Oficial Eletrônica e Sistema de Gerenciamento de Publicações;MES;12.0;R$ 845,00;R$ 10.140,00;R$ 10.140,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
12;2-Serviço;2-Outros;2-Serviço;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;;;S3000001;Prestação de serviços técnicos especializados de contabilidade, devidamente inscrita perante o Conselho Regional de Contabilidade do Estado da Bahia para Assessoria e Consultoria Contábil.;MES;12.0;R$ 32.500,00;R$ 390.000,00;R$ 390.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
13;1-Material;2-Outros;1-Material;1400;MATERIAIS DE ESCRITÓRIO;;;M14000001;Consultoria e Assessoria para os setores envolvidos (compras, diretoria administrativa, contabilidade, financeiro, controle interno e jurídico) na fases internas e externas dos processos de licitações.;MES;12.0;R$ 18.333,33;R$ 220.000,00;R$ 220.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
14;2-Serviço;2-Outros;2-Serviço;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;;;S3000002;Assessoria e Consultoria técnica especializada para mesa diretora.;MES;12.0;R$ 16.666,67;R$ 200.000,00;R$ 200.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
15;2-Serviço;2-Outros;2-Serviço;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;;;S3000003;Consultoria referente ao E-Social;MES;12.0;R$ 14.560,00;R$ 174.720,00;R$ 174.720,00;1-Sim;01/01/2025;Recursos Humanos;;
16;2-Serviço;2-Outros;2-Serviço;600;SERVIÇOS DE RECURSOS HUMANOS;;;S6000001;Fornecimento de serviço de medicina e segurança do trabalho;MES;12.0;R$ 22.500,00;R$ 270.000,00;R$ 270.000,00;1-Sim;01/01/2025;Recursos Humanos;;
17;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000008;Execução de atividades operacionais, técnicas, produção de conteúdo cultural, jornalístico e legislativo, transmissão de sessões e audiências públicas, disponibilização através de locação de equipamentos, para operacionalização e funcionamento das atividades do Legislativo Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;R$ 613.857,25;R$ 7.366.287,00;R$ 7.366.287,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
18;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000009;Serviço de manutenção e atualização do site oficial da Câmara Municipal de Luís Eduardo Magalhães-BA;MES;12.0;R$ 2.916,67;R$ 35.000,00;R$ 35.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
19;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000001;Serviço de manutenção preventiva e corretiva das instalações elétricas da Câmara Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;R$ 84.056,00;R$ 1.008.672,00;R$ 1.008.672,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
20;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000002;Serviço de manutenção preventiva e corretiva das instalações hidráulicas da Câmara Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;R$ 4.480,00;R$ 53.760,00;R$ 53.760,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
21;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000003;Serviço de manutenção e suporte técnico de relógio de ponto biométrico.;MES;12.0;R$ 1.666,67;R$ 20.000,00;R$ 20.000,00;1-Sim;01/01/2025;Recursos Humanos;;
22;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000010;Serviço de manutenção preventiva e corretiva relativos à Central Telefônica;MES;12.0;R$ 1.666,67;R$ 20.000,00;R$ 20.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
23;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000004;Serviço de manutenção preventiva e corretiva dos Elevadores;MES;12.0;R$ 3.333,33;R$ 40.000,00;R$ 40.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
24;2-Serviço;2-Outros;2-Serviço;600;SERVIÇOS DE RECURSOS HUMANOS;;;S6000002;Serviço de Contratação de Estagiários;MES;12.0;R$ 5.000,00;R$ 60.000,00;R$ 60.000,00;1-Sim;01/01/2025;Recursos Humanos;;
25;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000011;Serviço de manutenção preventiva e corretiva dos ares condicionados, com fornecimento de peças, gás etc.;MES;12.0;R$ 30.416,67;R$ 365.000,00;R$ 365.000,00;1-Sim;01/01/2025;Patrimônio;;
26;2-Serviço;2-Outros;2-Serviço;600;SERVIÇOS DE RECURSOS HUMANOS;;;S6000003;Serviço de Terceirização de Pessoas;MES;12.0;R$ 208.333,33;R$ 2.500.000,00;R$ 2.500.000,00;1-Sim;01/01/2025;Recursos Humanos;;
27;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000005;Serviço de manutenção de gerador.;UND;12.0;R$ 4.166,67;R$ 50.000,00;R$ 50.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
28;2-Serviço;2-Outros;2-Serviço;500;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;;;S5000001;Serviço de de dedetização, desratização, desinsetização e descupinização.;MES;12.0;R$ 4.166,67;R$ 50.000,00;R$ 50.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
29;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000006;Serviço de manutenção nas portas e janelas de vidro blindex.;MES;12.0;R$ 4.166,67;R$ 50.000,00;R$ 50.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
30;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000007;Serviço de Limpeza da Fachada de Vidros;UND;12.0;R$ 8.333,33;R$ 100.000,00;R$ 100.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
31;2-Serviço;2-Outros;2-Serviço;900;OUTROS SERVIÇOS;;;S9000001;Serviços de cópias de chaves, instalação de fechaduras, troca de segredos e manutenção de fechaduras.;MES;12.0;R$ 2.500,00;R$ 30.000,00;R$ 30.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
32;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000012;Serviço de recarga de extintores, testes hidrostaticos de mangueira para hidrante e pintura de extintores.;MES;12.0;R$ 2.500,00;R$ 30.000,00;R$ 30.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
33;2-Serviço;2-Outros;2-Serviço;500;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;;;S5000002;Serviço de Higienização de Persianas;UND;12.0;R$ 2.500,00;R$ 30.000,00;R$ 30.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
34;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000013;Serviços de locação de multifuncionais laser monocromático (copiadora, impressão, fax e scanner);MES;12.0;R$ 62.500,00;R$ 750.000,00;R$ 750.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
35;2-Serviço;2-Outros;2-Serviço;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;;;S3000004;Serviços de assessoria técnica e consultoria para implantação da Rádio e TV Câmara, a fim de atender as necessidades da Câmara Municipal de Luís Eduardo Magalhães - BA.;MES;12.0;R$ 6.250,00;R$ 75.000,00;R$ 75.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
36;3-Obras;2-Outros;2-Serviço;800;SERVIÇOS DE ENGENHARIA E OBRAS;;;S8000001;Reforma dos Prédios da Câmara Municipal de Luís Eduardo Magalhães - Ba. Contrato nº 059/2023 executado pela empresa PROJETAJ EMPREENDIMENTOS LTDA;UND;12.0;R$ 250.000,00;R$ 3.000.000,00;R$ 3.000.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
37;2-Serviço;2-Outros;2-Serviço;800;SERVIÇOS DE ENGENHARIA E OBRAS;;;S8000002;Engenheiro Civil para acompanhar e fiscalizar a execução do Contrato nº 059/2023 executado pela empresa PROJETAJ EMPREENDIMENTOS LTDA;MES;12.0;R$ 3.750,00;R$ 45.000,00;R$ 45.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
38;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000008;Serviço de manutenção predial – pequenos reparos (pedreiro, marceneiro e afins);MES;12.0;R$ 2.500,00;R$ 30.000,00;R$ 30.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
39;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000009;Serviço de manutenção predial - pintura;MES;12.0;R$ 8.333,33;R$ 100.000,00;R$ 100.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
40;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000010;Serviço de manutenção predial – calhas, rufos e pingadeiras;MES;12.0;R$ 8.333,33;R$ 100.000,00;R$ 100.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
41;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000011;Serviço de Pintura e sinalização externa do estacionamento da Câmara.;UND;12.0;R$ 4.166,67;R$ 50.000,00;R$ 50.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
42;2-Serviço;2-Outros;2-Serviço;600;SERVIÇOS DE RECURSOS HUMANOS;;;S6000004;Fornecimento de serviço de seleção e treinamentos;MES;12.0;R$ 25.000,00;R$ 300.000,00;R$ 300.000,00;1-Sim;01/01/2025;Recursos Humanos;;
43;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000014;Serviço de Certificação digital.;MES;12.0;R$ 416,67;R$ 5.000,00;R$ 5.000,00;1-Sim;01/01/2025;Recursos Humanos;;
44;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000012;Serviço de aplicação de gesso;MES;12.0;R$ 2.500,00;R$ 30.000,00;R$ 30.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
45;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000013;Serviço de colocação/troca de piso dos prédios da Câmara.;UND;12.0;R$ 225.000,00;R$ 2.700.000,00;R$ 2.700.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
46;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000014;Serviço de reparo e manutenção de mobiliário em geral.;MES;12.0;R$ 33.333,33;R$ 400.000,00;R$ 400.000,00;1-Sim;01/01/2025;Patrimônio;;
47;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000015;Serviço de fornecimento de licença de antivírus;UND;12.0;R$ 1.250,00;R$ 15.000,00;R$ 15.000,00;1-Sim;01/01/2025;CPD;;
48;2-Serviço;2-Outros;2-Serviço;900;OUTROS SERVIÇOS;;;S9000002;Serviços especializados para instalação de cerca ao redor do perímetro da Câmara Municipal de Luís Eduardo Magalhães,;UND;12.0;R$ 66.666,67;R$ 800.000,00;R$ 800.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
49;2-Serviço;2-Outros;2-Serviço;900;OUTROS SERVIÇOS;;;S9000003;Contratação de solução integrada de controle de acesso de pessoas e veículos e de registro de frequência.;MES;12.0;R$ 125.000,00;R$ 1.500.000,00;R$ 1.500.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
50;2-Serviço;2-Outros;2-Serviço;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;;;S4000015;Contratação de empresa especializada para o fornecimento, instalação e manutenção de um sistema integrado de iluminação cênica para a fachada, áreas externas e eventos internos da Câmara Municipal de Luís Eduardo Magalhães;MES;12.0;R$ 66.666,67;R$ 800.000,00;R$ 800.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
51;1-Material;2-Outros;1-Material;1400;MATERIAIS DE ESCRITÓRIO;;;M14000002;Serviço de Implementação, Gestão e Governança para conformidade com a Lei Geral de Proteção de Dados (Lei no 13.709/2018) e Aquisição de Solução Informatizada de Privacidade, Gestão de Riscos e Segurança da Informação.;MES;12.0;R$ 41.666,67;R$ 500.000,00;R$ 500.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
52;2-Serviço;2-Outros;2-Serviço;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;;;S7000001;Contratação de empresa especializada para a produção de trilhas sonoras originais e vinhetas institucionais destinadas à Rádio e à TV Câmara de Luís Eduardo Magalhães.;MES;12.0;R$ 7.500,00;R$ 90.000,00;R$ 90.000,00;1-Sim;01/08/2025;Diretoria Administrativa e Financeira;;
53;2-Serviço;2-Outros;2-Serviço;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;;;S7000002;Contratação de empresa especializada na manutenção preventiva e corretiva da Torre Metálica de 75 (setenta e cinco) metros da TV e Rádio Câmara Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;R$ 10.833,33;R$ 130.000,00;R$ 130.000,00;1-Sim;01/08/2025;Diretoria Administrativa e Financeira;;
54;2-Serviço;2-Outros;2-Serviço;800;SERVIÇOS DE ENGENHARIA E OBRAS;;;S8000003;Contratação de profissional especializado para elaboração de projetos técnicos e arquitetônicos necessários a futuras intervenções na Câmara Municipal de Luís Eduardo Magalhães.;MES;12.0;R$ 10.833,33;R$ 130.000,00;R$ 130.000,00;1-Sim;01/08/2025;Diretoria Administrativa e Financeira;;
55;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000016;Renovação completa do sistema de sonorização do Plenário Arnaldo Horácio Ferreira, espaço destinado à realização de sessões plenárias, solenidades, audiências públicas e demais eventos oficiais da Câmara Municipal de Luís Eduardo Magalhães/BA.;UND;12.0;R$ 4.166,67;R$ 50.000,00;R$ 50.000,00;1-Sim;01/08/2025;Diretoria Administrativa e Financeira;;
56;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000017;Contratação de empresa visando o fornecimento dos Projetos Técnicos/Executivos, elaboração de “Estudo de viabilidade Técnico-Econômica”, Memorial Descritivo (materiais, equipamentos e serviços para instalação do sistema solar fotovoltaico).;MES;12.0;R$ 10.416,67;R$ 125.000,00;R$ 125.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
57;2-Serviço;2-Outros;2-Serviço;800;SERVIÇOS DE ENGENHARIA E OBRAS;;;S8000004;Execução do Projeto de Energia Solar;MES;12.0;R$ 166.666,67;R$ 2.000.000,00;R$ 2.000.000,00;1-Sim;01/10/2020;Diretoria Administrativa e Financeira;;
58;2-Serviço;2-Outros;2-Serviço;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;;;S7000003;Software de gestão da rádio e Tv Câmara;MES;12.0;R$ 7.083,33;R$ 85.000,00;R$ 85.000,00;1-Sim;01/10/2020;Diretoria Administrativa e Financeira;;
59;2-Serviço;2-Outros;2-Serviço;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;;;S7000004;Serviço de coffee break e jantares para reuniões, eventos, capacitações e aniversários do mês.;MES;12.0;R$ 8.333,33;R$ 100.000,00;R$ 100.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
60;2-Serviço;2-Outros;2-Serviço;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;;;S7000005;Locação de espaço e buffet para os eventos institucionais do Poder Legislativo.;UND;12.0;R$ 8.333,33;R$ 100.000,00;R$ 100.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
61;1-Material;2-Outros;1-Material;1000;MATERIAIS DE INFORMÁTICA;;;M10000001;Aquisição de Materiais de Informática;UND;12.0;R$ 100.000,00;R$ 1.200.000,00;R$ 1.200.000,00;1-Sim;01/01/2025;CPD;;
62;1-Material;2-Outros;1-Material;1100;MÓVEIS E EQUIPAMENTOS;;;M11000001;Aquisição de móveis para escritório, como mesa, cadeiras, armários e afins.;UND;12.0;R$ 41.666,67;R$ 500.000,00;R$ 500.000,00;1-Sim;01/01/2025;Patrimônio;;
63;1-Material;2-Outros;1-Material;1400;MATERIAIS DE ESCRITÓRIO;;;M14000003;Aquisição de Ares Condicionados;UND;12.0;R$ 8.333,33;R$ 100.000,00;R$ 100.000,00;1-Sim;01/01/2025;Patrimônio;;
64;1-Material;2-Outros;1-Material;1300;EQUIPAMENTOS ELETRÔNICOS;;;M13000001;Aquisição de infraestrutura para abrigar os equipamentos de transmissão da Rádio FM e TV Digital;UND;12.0;R$ 103.548,33;R$ 1.242.580,00;R$ 1.242.580,00;1-Sim;01/01/2025;CPD;;
65;1-Material;2-Outros;1-Material;1300;EQUIPAMENTOS ELETRÔNICOS;;;M13000002;Aquisição de equipamentos eletrônicos para a transmissão da programação Tv Câmara Digital e da Rádio FM Câmara;UND;12.0;R$ 194.484,75;R$ 2.333.817,00;R$ 2.333.817,00;1-Sim;01/01/2025;CPD;;
66;1-Material;2-Outros;1-Material;1400;MATERIAIS DE ESCRITÓRIO;;;M14000004;Aquisição de uniformes;UND;12.0;R$ 8.333,33;R$ 100.000,00;R$ 100.000,00;1-Sim;01/01/2025;Recursos Humanos;;
67;1-Material;2-Outros;1-Material;1400;MATERIAIS DE ESCRITÓRIO;;;M14000005;Aquisição de persianas;UND;12.0;R$ 13.333,33;R$ 160.000,00;R$ 160.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
68;1-Material;2-Outros;1-Material;1300;EQUIPAMENTOS ELETRÔNICOS;;;M13000003;Aquisição de dois microfones sem fio e de um kit de caixa de som com tripé e microfones com fio;UND;12.0;R$ 1.000,00;R$ 12.000,00;R$ 12.000,00;1-Sim;01/08/2025;Diretoria Administrativa e Financeira;;
69;1-Material;2-Outros;1-Material;1100;MÓVEIS E EQUIPAMENTOS;;;M11000002;Aquisição de carrinhos (Almoxarifado e Patrimônio);UND;12.0;R$ 416,67;R$ 5.000,00;R$ 5.000,00;1-Sim;01/06/2025;Diretoria Administrativa e Financeira;;
70;1-Material;2-Outros;1-Material;1500;PEÇAS E COMPONENTES;;;M15000001;Aquisição de Peças para os elevadores dos Blocos A e B.;UND;12.0;R$ 5.000,00;R$ 60.000,00;R$ 60.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
71;1-Material;2-Outros;1-Material;1400;MATERIAIS DE ESCRITÓRIO;;;M14000006;Aquisição de flores e arranjos;UND;12.0;R$ 4.166,67;R$ 50.000,00;R$ 50.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
