numero_item;categoria;catalogo_utilizado;codigo_classe;nome_classe;codigo_item_catalogo;descricao_objeto;unidade_medida;quantidade_estimada;valor_unitario_estimado;valor_estimado;trimestre_previsto;renovacao_contrato;unidade_requisitante;justificativa;prioridade
11;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000006;Serviços de locação, manutenção preventiva e corretiva, parametrização de software e treinamento de pessoal do sistema web de recursos humanos, folha de pagamento e módulo E-Social.;MES;12.0;9100.0;109200.0;1;SIM;Recursos Humanos;O Sistema de Folha de Pagamento e Recursos Humanos deverá sér via Web com servidor online, Banco Único de dados, usuários e acessos ilimitados. Permitir cadastrar, alterar, consultar e emitir fichas de registros de empregados, em conformidade com as normas do Ministério do Trabalho e Emprego, para registro de empregados informatizado, bem como consultar registros de agentes públicos, estagiários, comissionados e autônomos. Permitir elaborar relatório de funcionários com diversos filtros (ativos, desligados, lotação, admissão, aniversariantés, etc) através de gerador de relatórios.;3
12;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000007;Sistema Portal do Servidor (contracheque on-line) com aplicativo Móbile.;MES;12.0;2600.0;31200.0;1;SIM;Recursos Humanos;Sistema Portal do Servidor (contracheque on-line) com aplicativo Móbile, disponibiliza aos servidores informações de acesso pessoal e intransferível do mesmo, mediante a inserção da matricula e fornecimento de senha especifica, garantido a confidencialidade da informação. Disponibiliza o Contracheque da competência em tempo real, dentro do prazo legal, desde que o Município assim esteja atuando. Disponibiliza o Contracheque detalhado, inclusive os descontos consignados decorrentes de acordo judiciais, extrajudiciais e/ou legais e demais informações pertinentes a cada servidor.;3
13;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000008;Sistema Web de Patrimônio Público.;MES;12.0;3900.0;46800.0;1;SIM;Patrimônio;O Sistema de Patrimônio deverá ser via Web com servidor online e Banco Único e acesso ilimitado. O Sistema deverá permitir quantidade ilimitada de usuários simultâneos com total integridade dos dados e permitir acesso ilimitado aos usuários cadastrados. O Sistema deverá registrar por completo cada acesso de cada usuário identificando suas ações, possuir histórico (log.) de todas as operações efètuadas por usuário (inclusões, alterações e exclusões) permitindo a sua consulta e impressão para auditoria. Deverá possibilitar o bloqueio dé módulos, rotinas e/ou tarefas do sistema para não permitir a inclusão ou manutenção dos lançamentos, podendo ser controlado por grupo/usuário. Possibilitar a inclusão em sérié de bens patrimoniais, por meio de cadastro em entidade, órgãos, cargos, responsáveis/centro de custo, unidade orçamentária, categoria,características, localização e tipo de seguro. Controlar e manter todos os dados relacionados aos bens móveis e imóveis que compõem o patrimônio da C;3
14;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000009;Sistema Web de Frota.;MES;12.0;2600.0;31200.0;1;SIM;Frotas;"Sistema Web de Frota permite registrar ordem de serviço com informações do veículo, fornecedor, motorista e serviços a serem realizados no veículo, permitindo o lançamento da despesa. Possui controle do consumo de combustível e média por veículo, permitindo a emissão de relatório por veículo, por período e com opção para detalhamento dos abastecimentos. Permite controlar as licitações de combustíveis, informando a quantidade licitada, utilizada e saldo restante, com possibilidade de anulação parcial da licitação e emitindo o relatório de acompanhamento por período. Registrar o controle de quilometragem dos veículos, informando o motorista, o setor requisitante, a distância percorrida, a data/hora, a quilometragem de saída e de chegada; possibilitando também a emissão de relatório por período, por centro de custo e com demonstração do itinerário. Permitir o registro das ocorrências envolvendo os veículos, como troca de hodometro, acidentes, etc., registrando as respectivas datas e possi";3
15;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000010;Sistema Web de Procuradoria Jurídica.;MES;12.0;2600.0;31200.0;1;SIM;Jurídico;Sistema Web de Procuradoria Jurídica deve permitir o cadastro dos dados do processo: Área jurídica, valor do processo, assunto processual, tribunal, juízo, dados do procurador, dados das partes e advogados. O Sistema deve possuir rotina de exportações de arquivos em formato pré-estabelecido a serem enviados para cartórios a fim de realizar execução de lançamentos em Dívida Ativa. O sistema deve possuir rotina de inscrição em lote de lançamento em Dívida Ativa, possuir tela de lançamento de andamento processual, e permitir também o cadastro de data de audiência com a possibilidade de realizar aviso com antecedência determinada.;3
16;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000011;Serviço de Locação de Software de Imprensa Oficial Eletrônica e Sistema de Gerenciamento de Publicações;MES;12.0;845.0;10140.0;1;SIM;Diretoria Administrativa e Financeira;Fornecimento de serviço técnico a fim de possibilitar o amplo acesso de usuários dos atos públicos internos e externos emitidos pelo Legislativo Municipal.;3
17;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000002;Sistema Web de controle de almoxarifado integrado com compras;MES;12.0;6500.0;78000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;"O sistema de controle de almoxarifado integrado com compras, irá auxiliar o setor nas demandas pertinentes ao controle de estoque, vinculado a cada contrato. Permitir cadastrar fornecedores, utilizar código de materiais por grupo e classe com definição da máscara ou de forma sequencial ou sequencial com grupo e classe. Possuir cadastro de materiais para informar se é material perecível; material estocável; material de consumo ou permanente; descrição; grupo e classe; dados da última compra como data, quantidade, preço e fornecedor. Permitir agrupar várias solicitações internas dos diversos setores para a entrega do Material. Controlar as solicitações internas, não permitindo que usuários de outros centros de custo cadastrem Solicitações não pertencentes ao seu centro de Custo. Controlar as requisições internas de forma que não ultrapasse os limites estabelecidos para cada Centro de Custos, dentre outras funcionalidades.";3
18;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000001;Prestação de serviços técnicos especializados de contabilidade, devidamente inscrita perante o Conselho Regional de Contabilidade do Estado da Bahia para Assessoria e Consultoria Contábil.;MES;12.0;32500.0;390000.0;1;SIM;Diretoria Administrativa e Financeira;Uma empresa de contabilidade especializada está atualizada com todas as leis e regulamentos contábeis, fiscais e trabalhistas. Ela pode garantir que sua organização esteja em conformidade com todas as obrigações legais, evitando multas e penalidades. Uma consultoria contábil pode auxiliar na elaboração de orçamentos precisos e realistas, alinhados com os objetivos estratégicos da organização. Isso ajuda a evitar déficits orçamentários e a garantir o uso eficiente dos recursos financeiros disponíveis.;3
19;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000002;Consultoria e Assessoria Controle Interno.;MES;12.0;13333.33;160000.0;1;SIM;Controle Interno;Assessoria e suporte ao setor de controle interno, com ênfase nos atos administrativos desta casa de leis, incluindo o acompanhamento e orientações da equipe, a fim de atender as exigências do Tribunal de Contas da Bahia, evitando notificações/ e ou multas pelo órgão.;3
20;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000003;Consultoria e Assessoria das Comissões Parlamentares Permanentes e Temporárias.;MES;12.0;16666.67;200000.0;1;SIM;Jurídico;"Assessoramento e apresentação de pareceres independentes junto às comissões de: I-Comissão permanente de constituição, justiça e redação; II- Comissão permanente de finanças, orçamento e contas; III- Comissão permanente de obras, administração pública, serviços públicos, urbanismo e segurança; IV- Comissão permanente de educação, cultura, lazer, esporte, saúde e ação social; V- Comissão permanente de indústria, comércio, serviço, agropecuária e meio ambiente; VI- Comissão permanente dos direitos do cidadão. Acompanhamento das sessões ordinária, extraordinárias, itinerantes, solenes e audiências públicas; Assistir o presidente, a mesa diretora e os vereadores em seus atos relacionados às atividades das comissões parlamentares.";3
21;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000004;Consultoria e Assessoria do SIGA;MES;12.0;12500.0;150000.0;1;SIM;Controle Interno;Sistema Integrado de Gestão e Auditoria (SIGA) é essencial pois orienta os setores na execução da alimentação do sistema tendo como finalidade suprir todas as exigências de informações constantes nos instrumentos normativos e orientações expedidas pelo Tribunal consubstanciado na Resolução 1267/2 008,1272/2008e1312/2012.;3
22;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000005;Consultoria e Assessoria Jurídica Parlamentar;MES;12.0;17083.33;205000.0;1;SIM;Jurídico;Consultoria e assessoria jurídica parlamentar, visando o melhor embasamento para a tomada de decisões pertinentes às necessidades da Câmara Municipal de Luís Eduardo Magalhães-BA.;3
23;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000003;Consultoria e Assessoria para os setores envolvidos (compras, diretoria administrativa, contabilidade, financeiro, controle interno e jurídico) na fases internas e externas dos processos de licitações.;MES;12.0;18333.33;220000.0;1;SIM;Diretoria Administrativa e Financeira;Auxiliar os setores envolvidos (compras, diretoria administrativa, contabilidade, financeiro, controle interno e jurídico) na fases internas e externas dos processos de licitações, a fim de planejar a edição de regulamentos próprios, elaboração e implantação de plano de ação para regulamentação e aplicação da Nova Lei de Licitações e contratos, afim de atender as necessidades da Câmara Municipal de Luís Eduardo Magalhães – BA.;3
24;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000006;Assessoria e Consultoria técnica especializada para mesa diretora.;MES;12.0;16666.67;200000.0;1;SIM;Diretoria Administrativa e Financeira;Auxiliar a mesa diretora em matéria de planejamento, controle e gerenciamento de recursos, avaliação periódica da capacidade de investimento observando os princípios das economicidade e razoabilidade, visando melhor embasamento para tomada de decisões pertinentes as necessidades da Câmara Municipal de Luís Eduardo Magalhães/BA.;3
25;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000007;Consultoria referente ao E-Social;MES;12.0;14560.0;174720.0;1;SIM;Recursos Humanos;Consultoria referente ao e-social, objetivando capacitar e acompanhar as seguintes determinações: documentação técnica e eventos do e-social, novas obrigações acessórias, layouts, tabelas e regras de validação, como enviar dados ao e-social, penalidades e mudanças, análise de cadastro do empregador, análise das tabelas do cadastro, RET-registro de eventos trabalhistas, reflexos do e- social na prática, cronograma, extinção de programas, legislação do e-social e demais ações.;3
26;SERVICO;OUTROS;600;SERVIÇOS DE RECURSOS HUMANOS;S6000001;Fornecimento de serviço de medicina e segurança do trabalho;MES;12.0;22500.0;270000.0;1;SIM;Recursos Humanos;Fornecimento de serviço de medicina e segurança do trabalho visando atender as determinações do Ministério do Trabalho e Emprego.;3
27;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000012;Execução de atividades operacionais, técnicas, produção de conteúdo cultural, jornalístico e legislativo, transmissão de sessões e audiências públicas, disponibilização através de locação de equipamentos, para operacionalização e funcionamento das atividades do Legislativo Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;61385.72;736628.7;1;SIM;Diretoria Administrativa e Financeira;Execução de atividades operacionais, técnicas, produção de conteúdo cultural, jornalístico e legislativo, transmissão de sessões e audiências públicas, disponibilização através de locação de equipamentos, para operacionalização e funcionamento das atividades do Legislativo Municipal de Luís Eduardo Magalhães/BA. Justifica-se pelo fato de a Câmara Municipal de Luís Eduardo Magalhães não dispor de equipamentos, nem de servidores capacitados para a realização dessa atividade. Portanto, a necessidade na contratação de empresa prestadora serviço.;3
28;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000013;Serviço de manutenção e atualização do site oficial da Câmara Municipal de Luís Eduardo Magalhães-BA;MES;12.0;2916.67;35000.0;1;SIM;Diretoria Administrativa e Financeira;"Prestação de serviço de manutenção e atualização do site oficial da Câmara Municipal de Luís Eduardo Magalhães-BA, instalado no endereço https://cmlem.ba.gov.br/ com hospedagem web 24h na internet, incluindo serviços de publicação de informações, visando atender as demandas da Câmara Municipal. Compreendendo: • Atualização de conteúdo; • Links no site com banner para os serviços como diário oficial, Lei de acesso a informação, SIC (Sistema de Informação ao Cidadão), Transparência pública em tempo real, ouvidoria, portal do servidor, dentre outras demandas; • Interligação do site com as principais redes sociais; • Hospedagens e backup web dedicada e webmail; • Hospedagens de informações na nuvem; • Manutenção de informações 24/h, conforme necessidade; • Hospedagem web em datacenter no brasil com liberação de até 100 contas de e-mails, armazenamento total até 100gb; • Atendimento para inserção de conteúdo no site oficial, publicações de documentos, releases, notícias e correções; • Webma";3
29;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000001;Serviço de manutenção preventiva e corretiva das instalações elétricas da Câmara Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;8405.6;100867.2;1;SIM;Diretoria Administrativa e Financeira;Serviço de manutenção preventiva e corretiva das instalações elétricas da Câmara Municipal de Luís Eduardo Magalhães/BA, abrangendo todo o edifício-sede (Bloco “A” e “B”), bem como todas as instalações elétricas existentes na área externa (gerador, iluminação externa, poço artesiano e sistema automático de irrigação da grama), visando manter em pleno funcionamento para não atrapalhar o bom andamento das atividades legislativas.;3
30;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000002;Serviço de manutenção preventiva e corretiva das instalações hidráulicas da Câmara Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;4480.0;53760.0;1;SIM;Diretoria Administrativa e Financeira;"Serviço de manutenção preventiva e corretiva das instalações hidráulicas, abrangendo todo o edifício-sede (Blocos ""A"" e ""B""), bem como todas as instalações hidráulicas existentes na área externa (sistema automático de irrigação de grama, calhas, caixa d'agua, banheiros) da Câmara Municipal de Luís Eduardo Magalhães/BA, visando manter em pleno funcionamento para não atrapalhar o bom andamento das atividades legislativas.";3
31;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000003;Serviço de manutenção e suporte técnico de relógio de ponto biométrico.;MES;12.0;1666.67;20000.0;1;SIM;Recursos Humanos;Serviço de manutenção e suporte técnico de relógio de ponto biométrico, serviço essencial para controle do RH, pois possibilita o registro dos funcionários, auxiliando assim na elaboração a folha de pagamento. A contratação é imprescindível, uma vez que o controle da jornada dos servidores é algo primordial para o acompanhamento do deslinde do trabalho nesta Casa de Leis, sem manutenção e suporte técnico, possíveis problemas no relógio podem ocasionar a impossibilidade no controle da jornada de horas trabalhadas pelos servidores, assim como o devido cumprimento de suas cargas horárias.;3
32;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000014;Serviço de manutenção preventiva e corretiva relativos à Central Telefônica;MES;12.0;1666.67;20000.0;1;SIM;Diretoria Administrativa e Financeira;Serviços de manutenção preventiva e corretiva relativos à telefonia e telecomunicações, com operação PABX, com programação e suporte, assistência técnica dos componentes, equipamentos periféricos da Central Telefônica Intelbrás Impacta 220 rack, e ramais em todo prédio pertencente a Câmara Municipal de Luís Eduardo Magalhães/BA, visando manter em pleno funcionamento para não atrapalhar o bom andamento das atividades legislativas.;3
33;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000004;Serviço de manutenção preventiva e corretiva dos Elevadores;MES;12.0;3333.33;40000.0;1;SIM;Diretoria Administrativa e Financeira;Serviço essencial tendo em vista a necessidade para utilização de pessoas idosas e com deficiência.;3
34;SERVICO;OUTROS;600;SERVIÇOS DE RECURSOS HUMANOS;S6000002;Serviço de Contratação de Estagiários;MES;12.0;5000.0;60000.0;1;SIM;Recursos Humanos;Possibilitar experiência prática na linha de formação, por meio da realização de estágio curricular, observadas as competências institucionais específicas da Câmara Municipal de Luís Eduardo Magalhães/BA, para estudantes regularmente matriculados e com frequência em instituições de ensino de todo o País. Os supervisores de estágio deverão possibilitar a criação de métodos e aquisição de conteúdos capazes de promover o desenvolvimento integral do estudante. Deste modo, o estágio será planejado, executado, acompanhado e avaliado em conformidade com a área de formação e deverá propiciar complementação de ensino e aprendizagem aos estudantes, constituindo-se em instrumento de iniciação ao trabalho, de aperfeiçoamento técnico-cultural e científico e de relacionamento humano.;3
35;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000015;Licenciamento de software, a fim de proporcionar acesso a simulador de tributação na fonte, banco de dados com informações tributárias especializadas e consultas acerca de retenção na fonte de INSS, Imposto de Renda (IRRF), Imposto sobre Serviços (ISS) e Contribuições Sociais (PIS/PASEP, CSLL E COFINS).;MES;12.0;750.0;9000.0;1;SIM;Contabilidade;Licenciamento de software, a fim de proporcionar acesso a simulador de tributação na fonte, banco de dados com informações tributárias especializadas e consultas, auxiliando o Setor de Contabilidade acerca de retenção na fonte de INSS, Imposto de Renda (IRRF), Imposto sobre Serviços (ISS) e Contribuições Sociais (PIS/PASEP, CSLL E COFINS).;3
36;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000016;Serviço de manutenção preventiva e corretiva dos ares condicionados, com fornecimento de peças, gás etc.;MES;12.0;30416.67;365000.0;1;SIM;Patrimônio;Serviço de manutenção preventiva e corretiva dos ares condicionados, atualmente composto de 117 aparelhos, serviço com fornecimento de peças, gás etc, essencial manter em pleno funcionamento para não atrapalhar o bom andamento das atividades legislativas.;3
37;SERVICO;OUTROS;600;SERVIÇOS DE RECURSOS HUMANOS;S6000003;Serviço de Terceirização de Pessoas;MES;12.0;208333.33;2500000.0;1;SIM;Recursos Humanos;Serviço de Terceirização de Pessoas lotados na limpeza, conservação e suporte administrativo, serviços estes essenciais para manter o bo funcionamento desta Casa Legislativa.;3
38;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000005;Serviço de manutenção de gerador.;MES;12.0;4166.67;50000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de empresa ou profissional para a manutenção de gerador a cada 6 meses. Consiste em limpeza, troca de óleo e reparos necessários para o bom funcionamento/acionamento sempre que necessário.;3
39;SERVICO;OUTROS;500;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;S5000001;Serviço de de dedetização, desratização, desinsetização e descupinização.;MES;12.0;4166.67;50000.0;1;SIM;Diretoria Administrativa e Financeira;Serviços de controle sanitário integrado no combate a pragas urbanas, englobando dedetização, desratização, desinsetização e descupinização geral nas áres internas e externas, a fim de eliminar pragas voantes e rasteiras, contribuindo para um ambiente de trabalho limpo e higienizado.;3
40;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000006;Serviço de manutenção nas portas e janelas de vidro blindex.;MES;12.0;4166.67;50000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de empresa ou profissional para a manutenção das portas e janelas de vidro blindex do Poder Legislativo.;3
41;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000007;Serviço de Limpeza da Fachada de Vidros;MES;12.0;8333.33;100000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de empresa ou profissional para a limpeza da fachada de vidros do Poder Legislativo a cada 6 meses.;3
42;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000001;Serviços de cópias de chaves, instalação de fechaduras, troca de segredos e manutenção de fechaduras.;MES;12.0;2500.0;30000.0;1;SIM;Diretoria Administrativa e Financeira;Serviços de cópias de chaves, instalação de fechaduras, troca de segredos e manutenção de fechaduras.;3
43;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000017;Serviço de recarga de extintores, testes hidrostaticos de mangueira para hidrante e pintura de extintores.;MES;12.0;2500.0;30000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação do serviço de recarga de extintores em observância as normas NR 23 e Lei 13425/2017.;3
44;SERVICO;OUTROS;500;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;S5000002;Serviço de Higienização de Persianas;MES;12.0;2500.0;30000.0;1;SIM;Diretoria Administrativa e Financeira;Justifica-se da necessidade de diminuir a exposição aos raios solares no ambiente de trabalho, manter cortinas e persianas em bom estado de conservação e limpeza, garantindo sua função de bloquear os raios solares e o excesso de calor que comprometem a refrigeração dos ambientes e buscando manter esta casa legislativa livre da proliferação doenças, de germes e bactérias entre outros agentes patogênicos e prejudiciais à saúde individual e coletiva. A utilização e manutenção das cortinas e persianas auxiliam no controle de entrada de luz solar dentro do ambiente de trabalho, auxiliando os aparelhos de refrigeração (redução no consumo de energia), propocionando para aqueles que laboram e utilizam dos serviços um ambiente climatizado e confortável.;3
45;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000002;Serviço de Locação de Veículos;MES;12.0;125000.0;1500000.0;1;SIM;Frotas;Faz-se necessário a contratação de empresa especializada para locação de veículos leves, devido a demanda de serviços e atividades do setor administrativo e Gabinetes dos edis da Câmara Municipal de Luís Eduardo Magalhães. Buscando melhorar significativamente a qualidade dos serviços, levando em consideração o frequente deslocamento dos vereadores, assessores, secretários e servidores dentro e fora da cidade. O Município possui alguns povoados, tais como: Novo Paraná, Bela Vista, vilas I, II, III e IV, onde os vereadores desta casa legislativa visitam com frequência aos munícipes, necessitando de veículos que atendam o designo em área urbana e rural, permitindo o deslocamento durante todo o ano, inclusive em períodos chuvosos.;3
