Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21827;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100862;SERVIO DE MANUTENO;UN;9,0000;130,0000;1170,0000;1170,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21829;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;9,0000;250,0000;2250,0000;2250,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21830;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;4,0000;240,0000;960,0000;960,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21831;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;5,0000;430,0000;2150,0000;2150,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20428;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100459;LEITE;UN;30,0000;30,0000;900,0000;900,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21832;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;9,0000;100,0000;900,0000;900,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;19285;Material;;;Catálogo do Compras.gov.br;Material;2050;MATERIAL DE COPA E COZINHA;;;101061;COPO;UN;20,0000;7,5000;150,0000;150,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21413;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100844;SERVIO DE GRFICA;UN;3,0000;200,0000;600,0000;600,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21834;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;101119;TURBINA;UN;1,0000;350,0000;350,0000;350,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;19642;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100166;CANETA;UN;100,0000;1,1800;118,0000;118,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;19647;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100166;CANETA;UN;20,0000;3,5000;70,0000;70,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;19313;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100166;CANETA;UN;20,0000;1,1800;23,6000;23,6000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21944;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;101058;SERVIO DE TRANSPORTE AREO NACIONAL;UN;9,0000;5000,0000;45000,0000;45000,0000;15/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21859;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100858;SERVIO DE LOCAO;UN;2,0000;750,0000;1500,0000;1500,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20451;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100029;GUA;UN;120,0000;2,5000;300,0000;300,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20297;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100387;FOLHA;PCT;10,0000;29,0000;290,0000;290,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20508;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100785;SERVIO DE ALIMENTAO;UN;1,0000;500,0000;500,0000;500,0000;15/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21866;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;101285;RESINA PARA CARIMBO;UN;2,0000;45,0000;90,0000;90,0000;20/01/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20526;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100029;GUA;UN;100,0000;15,0000;1500,0000;1500,0000;31/01/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20527;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100156;CAF;UN;15,0000;70,0000;1050,0000;1050,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20528;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100194;CH;UN;4,0000;35,0000;140,0000;140,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20529;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100625;PERFURADOR;UN;1,0000;80,0000;80,0000;80,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20531;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;101379;ACAR;UN;10,0000;8,0000;80,0000;80,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20532;Material;;;Catálogo do Compras.gov.br;Material;300;AUTOPEÇAS;;;101679;GRAMPO;UN;2,0000;55,0000;110,0000;110,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20534;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100245;CORRETIVO;UN;5,0000;5,0000;25,0000;25,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20535;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100387;FOLHA;UN;50,0000;35,0000;1750,0000;1750,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22015;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100792;SERVIO DE ASSINATURA;UN;1,0000;1500,0000;1500,0000;1500,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22016;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100792;SERVIO DE ASSINATURA;UN;1,0000;1800,0000;1800,0000;1800,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20541;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;101165;SERVIO DE TREINAMENTO;UN;5,0000;600,0000;3000,0000;3000,0000;30/10/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20542;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;101116;SERVIO DE CURSOS E OFICINAS;UN;5,0000;600,0000;3000,0000;3000,0000;30/10/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20537;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100792;SERVIO DE ASSINATURA;UN;1,0000;200,0000;200,0000;200,0000;16/07/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20380;Material;;;Catálogo do Compras.gov.br;Material;300;AUTOPEÇAS;;;101679;GRAMPO;UN;10,0000;12,5000;125,0000;125,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20382;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100417;GRAMPEADOR;UN;1,0000;30,0000;30,0000;30,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20388;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100625;PERFURADOR;UN;1,0000;30,0000;30,0000;30,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22021;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;101116;SERVIO DE CURSOS E OFICINAS;UN;9,0000;600,0000;5400,0000;5400,0000;15/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20195;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;101122;VISOR;UN;50,0000;0,3000;15,0000;15,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20203;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100456;LPIS;UN;10,0000;1,5000;15,0000;15,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20212;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100387;FOLHA;UN;100,0000;1,0000;100,0000;100,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22022;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;1,0000;800,0000;800,0000;800,0000;30/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22122;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;1,0000;24000,0000;24000,0000;24000,0000;13/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22152;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100915;SERVIO DE ZELADORIA;UN;1,0000;18000,0000;18000,0000;18000,0000;15/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22155;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100902;SERVIO DE SUPORTE TCNICO;UN;1,0000;11880,0000;11880,0000;11880,0000;31/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22151;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100908;SERVIO DE TRANSPORTE DE PASSAGEIROS;UN;4,0000;2500,0000;10000,0000;10000,0000;20/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22156;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100857;SERVIO DE LIMPEZA;UN;1,0000;39600,0000;39600,0000;39600,0000;29/01/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22159;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100886;SERVIO DE PUBLICIDADE;UN;1,0000;200000,0000;200000,0000;200000,0000;31/03/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22182;Material;;;Catálogo do Compras.gov.br;Material;800;SERVIÇOS DE TERCEIROS;;;100844;SERVIO DE GRFICA;UN;50,0000;8,0000;400,0000;400,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22188;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;500,0000;0,8500;425,0000;425,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22183;Material;;;Catálogo do Compras.gov.br;Material;800;SERVIÇOS DE TERCEIROS;;;100844;SERVIO DE GRFICA;UN;50,0000;8,0000;400,0000;400,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22192;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;500,0000;0,9500;475,0000;475,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22189;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;500,0000;0,2500;125,0000;125,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22238;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;70,0000;6,0000;420,0000;420,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22247;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;101117;COMPRESSOR;UN;2,0000;750,0000;1500,0000;1500,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22248;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;101117;COMPRESSOR;UN;3,0000;1650,0000;4950,0000;4950,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22239;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;600,0000;2,0000;1200,0000;1200,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22245;Material;;;Catálogo do Compras.gov.br;Material;800;SERVIÇOS DE TERCEIROS;;;100844;SERVIO DE GRFICA;UN;50,0000;8,0000;400,0000;400,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22240;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;800,0000;2,0000;1600,0000;1600,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22241;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;80,0000;3,5000;280,0000;280,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22249;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;2,0000;320,0000;640,0000;640,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22251;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;3,0000;420,0000;1260,0000;1260,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22253;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100862;SERVIO DE MANUTENO;UN;9,0000;80,0000;720,0000;720,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22259;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;9,0000;170,0000;1530,0000;1530,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22260;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;9,0000;120,0000;1080,0000;1080,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22255;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100803;SERVIO DE CERTIFICADO DIGITAL;UN;5,0000;250,0000;1250,0000;1250,0000;10/01/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22692;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;101850;SERVIO DE FORNECIMENTO;UN;1,0000;11260,0000;11260,0000;11260,0000;05/05/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20330;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100637;PILHA;UN;40,0000;3,5000;140,0000;140,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22722;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;101839;SERVIO DE PUBLICAO;UN;1,0000;400,0000;400,0000;400,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22705;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100870;SERVIO DE MONITORAMENTO;UN;1,0000;4800,0000;4800,0000;4800,0000;15/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22647;Serviço;;;Catálogo do Compras.gov.br;Serviço;2000;IMOBILIZADO;;;101721;SERVIO DE IMPRESSO;UN;1,0000;3600,0000;3600,0000;3600,0000;01/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21160;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;1,0000;13000,0000;13000,0000;13000,0000;11/08/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22033;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100858;SERVIO DE LOCAO;UN;1,0000;117448,7500;117448,7500;117448,7500;31/07/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20596;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100885;SERVIO DE PROVEDOR DE INTERNET;UN;1,0000;11500,0000;11500,0000;11500,0000;30/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22765;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100919;SERVIO FOTOGRFICO;UN;1,0000;2000,0000;2000,0000;2000,0000;30/01/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20536;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100474;LIXEIRA;UN;10,0000;30,0000;300,0000;300,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20333;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100637;PILHA;UN;20,0000;3,5000;70,0000;70,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22124;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100928;SERVIO TECNICO PROFISSIONAL;UN;1,0000;38184,2400;38184,2400;38184,2400;22/08/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22622;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;1,0000;750,0000;750,0000;750,0000;20/03/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22659;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;1,0000;600,0000;600,0000;600,0000;03/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22663;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;1,0000;980,0000;980,0000;980,0000;05/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22771;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;1,0000;1000,0000;1000,0000;1000,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22766;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;101278;CARTO DE VISITAS;UN;4500,0000;1,0000;4500,0000;4500,0000;30/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22650;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;101886;PLAQUETA DE MESA;UN;9,0000;600,0000;5400,0000;5400,0000;15/03/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21416;Material;;;Catálogo do Compras.gov.br;Material;800;SERVIÇOS DE TERCEIROS;;;100844;SERVIO DE GRFICA;UN;16,0000;71,0000;1136,0000;1136,0000;15/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22338;Material;;;Catálogo do Compras.gov.br;Material;800;SERVIÇOS DE TERCEIROS;;;100844;SERVIO DE GRFICA;UN;50,0000;2,0000;100,0000;100,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21874;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100878;SERVIO DE PLANO DE SADE;UN;1,0000;19500,0000;19500,0000;19500,0000;30/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22800;Material;;;Catálogo do Compras.gov.br;Material;24;MATERIAL PARA SINALIZAÇÃO VISUAL;;;100649;PLACA;UN;1,0000;420,0000;420,0000;420,0000;31/03/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22784;Material;;;Catálogo do Compras.gov.br;Material;20;MATERIAL ELÉTRICO E ELETRÔNICO;;;101758;CONTATORA TRIFSICA;UN;1,0000;108,1200;108,1200;108,1200;28/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22785;Material;;;Catálogo do Compras.gov.br;Material;20;MATERIAL ELÉTRICO E ELETRÔNICO;;;101918;BORNEIRA DA CONDENSADORA;UN;1,0000;50,9000;50,9000;50,9000;28/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;23108;Material;;;Catálogo do Compras.gov.br;Material;2032;GÊNEROS DE ALIMENTAÇÃO;;;100156;CAF;UN;10,0000;38,9000;389,0000;389,0000;20/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22862;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100862;SERVIO DE MANUTENO;UN;1,0000;4996,0000;4996,0000;4996,0000;30/04/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22863;Material;;;Catálogo do Compras.gov.br;Material;8;EQUIPAMENTOS DE INFORMÁTICA;;;100978;TELEFONE;UN;8,0000;295,0000;2360,0000;2360,0000;30/04/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22897;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;100716;REFRIGERADOR;UN;1,0000;2999,0000;2999,0000;2999,0000;30/04/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21300;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100791;SERVIO DE ASSESSORIA;UN;1,0000;13596,9400;13596,9400;13596,9400;27/04/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22932;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101213;MESA;UN;1,0000;1420,0000;1420,0000;1420,0000;30/05/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;23090;Material;;;Catálogo do Compras.gov.br;Material;400;MEDICAMENTOS E MATERIAIS HOSPITALARES;;;100022;ADESIVO;UN;23,0000;176,2000;4052,6000;4052,6000;30/06/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;29948;Material;;;Catálogo do Compras.gov.br;Material;8;EQUIPAMENTOS DE INFORMÁTICA;;;100555;NOBREAK;UN;3,0000;1500,0000;4500,0000;4500,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;29945;Material;;;Catálogo do Compras.gov.br;Material;8;EQUIPAMENTOS DE INFORMÁTICA;;;100239;COMPUTADOR;UN;2,0000;5200,0000;10400,0000;10400,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;29919;Material;;;Catálogo do Compras.gov.br;Material;2000;IMOBILIZADO;;;101676;APOIO PARA PS;UN;8,0000;84,9000;679,2000;679,2000;28/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20533;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100606;PASTA;UN;30,0000;35,0000;1050,0000;1050,0000;30/11/2025
